Title,ActualPrice,Status,Description,PostalCode,StateCode,City,Url
105-E-38th-St-Apt-6C_New-York_NY_10016_M45135-55067,$899000,for_sale,"baths_consolidated: 1, type: coop, sub_type: co_op, sold_date: 2004-10-01",10016,NY,New York,https://www.realtor.com/realestateandhomes-detail/105-E-38th-St-Apt-6C_New-York_NY_10016_M45135-55067
105-E-38th-St-Unit-Phduplex_New-York_NY_10016_M90377-51011,$2495000,for_sale,"baths_consolidated: 4.5, type: coop, sub_type: co_op",10016,NY,Manhattan,https://www.realtor.com/realestateandhomes-detail/105-E-38th-St-Unit-Phduplex_New-York_NY_10016_M90377-51011
240-E-35th-St-Apt-8A_New-York_NY_10016_M31423-06595,$600000,for_sale,"baths_consolidated: 1, type: coop, sub_type: co_op, sold_date: 2005-09-21",10016,NY,Manhattan,https://www.realtor.com/realestateandhomes-detail/240-E-35th-St-Apt-8A_New-York_NY_10016_M31423-06595
240-E-33rd-St-Unit-Townhouse_New-York_NY_10016_M90942-04113,$4695000,for_sale,"baths_consolidated: 5.5, type: townhomes, sub_type: townhouse",10016,NY,Manhattan,https://www.realtor.com/realestateandhomes-detail/240-E-33rd-St-Unit-Townhouse_New-York_NY_10016_M90942-04113
159-E-30th-St-Apt-3C_New-York_NY_10016_M31725-69901,$875000,for_sale,"baths_consolidated: 1, type: condos, sub_type: condo, sold_date: 2006-01-25",10016,NY,New York,https://www.realtor.com/realestateandhomes-detail/159-E-30th-St-Apt-3C_New-York_NY_10016_M31725-69901
140-E-28th-St-Apt-10B_New-York_NY_10016_M42122-18805,$595000,for_sale,"baths_consolidated: 1, type: coop, sub_type: co_op, sold_date: 2005-07-27",10016,NY,New York,https://www.realtor.com/realestateandhomes-detail/140-E-28th-St-Apt-10B_New-York_NY_10016_M42122-18805
330-E-38th-St-Apt-14L_New-York_NY_10016_M40116-11896,$1399999,for_sale,"baths_consolidated: 2, type: condos, sub_type: condo, sold_date: 2013-06-06",10016,NY,New York,https://www.realtor.com/realestateandhomes-detail/330-E-38th-St-Apt-14L_New-York_NY_10016_M40116-11896
10-Park-Ave-S8_New-York_NY_10016_M33015-73713,$465000,for_sale,"baths_consolidated: 1, type: coop, sub_type: co_op, sold_date: 2005-09-29",10016,NY,New York,https://www.realtor.com/realestateandhomes-detail/10-Park-Ave-S8_New-York_NY_10016_M33015-73713
225-E-34th-St-Apt-2G_New-York_NY_10016_M36349-22643,$1385000,for_sale,"baths_consolidated: 2, type: condos, sub_type: condo, sold_date: 2007-12-17",10016,NY,New York,https://www.realtor.com/realestateandhomes-detail/225-E-34th-St-Apt-2G_New-York_NY_10016_M36349-22643
220-Madison-Ave-Apt-11A_New-York_NY_10016_M49422-62990,$1695000,for_sale,"baths_consolidated: 2, type: coop, sub_type: co_op, sold_date: 2015-09-23",10016,NY,New York,https://www.realtor.com/realestateandhomes-detail/220-Madison-Ave-Apt-11A_New-York_NY_10016_M49422-62990
105-E-38th-St-Apt-8A_New-York_NY_10016_M47275-82119,$558000,for_sale,"baths_consolidated: 1, type: coop, sub_type: co_op, sold_date: 2017-12-07",10016,NY,New York,https://www.realtor.com/realestateandhomes-detail/105-E-38th-St-Apt-8A_New-York_NY_10016_M47275-82119
120-E-36th-St-Apt-6H_New-York_NY_10016_M94427-74742,$885000,for_sale,"baths_consolidated: 2, type: coop, sub_type: co_op",10016,NY,New York,https://www.realtor.com/realestateandhomes-detail/120-E-36th-St-Apt-6H_New-York_NY_10016_M94427-74742
630-1st-Ave-Apt-4F_New-York_NY_10016_M31968-67296,$848800,for_sale,"baths_consolidated: 1, type: condos, sub_type: condo, sold_date: 2021-09-21",10016,NY,New York,https://www.realtor.com/realestateandhomes-detail/630-1st-Ave-Apt-4F_New-York_NY_10016_M31968-67296
225-E-34th-St-Apt-4I_New-York_NY_10016_M43609-04138,$1650000,for_sale,"baths_consolidated: 2, type: condos, sub_type: condo, sold_date: 2008-02-28",10016,NY,Manhattan,https://www.realtor.com/realestateandhomes-detail/225-E-34th-St-Apt-4I_New-York_NY_10016_M43609-04138
16-Park-Ave-C8_New-York_NY_10016_M46990-30109,$530000,for_sale,"baths_consolidated: 1, type: coop, sub_type: co_op, sold_date: 2013-12-20",10016,NY,New York,https://www.realtor.com/realestateandhomes-detail/16-Park-Ave-C8_New-York_NY_10016_M46990-30109
105-E-38th-St-Apt-9_New-York_NY_10016_M38920-18455,$1895000,for_sale,"baths_consolidated: 3, type: coop, sub_type: co_op",10016,NY,Manhattan,https://www.realtor.com/realestateandhomes-detail/105-E-38th-St-Apt-9_New-York_NY_10016_M38920-18455
330-E-38th-St-23OP_New-York_NY_10016_M96446-76635,$1599000,for_sale,"baths_consolidated: 2, type: condos, sub_type: condo, sold_date: 2005-04-15",10016,NY,Manhattan,https://www.realtor.com/realestateandhomes-detail/330-E-38th-St-23OP_New-York_NY_10016_M96446-76635
328-E-30th-St_New-York_NY_10016_M31777-71634,$5400000,for_sale,"baths_consolidated: 2, type: townhomes, sub_type: townhouse",10016,NY,New York,https://www.realtor.com/realestateandhomes-detail/328-E-30th-St_New-York_NY_10016_M31777-71634
165-Lexington-Ave_New-York_NY_10016_M93712-56271,$800000,for_sale,"type: condos, sub_type: condo, sold_date: 2023-04-21",10016,NY,New York,https://www.realtor.com/realestateandhomes-detail/165-Lexington-Ave_New-York_NY_10016_M93712-56271
120-E-36th-St-Ph-B_New-York_NY_10016_M95583-20531,$750000,for_sale,"baths_consolidated: 1, type: coop, sub_type: co_op",10016,NY,New York,https://www.realtor.com/realestateandhomes-detail/120-E-36th-St-Ph-B_New-York_NY_10016_M95583-20531
325-5th-Ave-Apt-44B_New-York_NY_10016_M38960-50909,$2445000,for_sale,"baths_consolidated: 2, type: condos, sub_type: condo, sold_date: 2012-07-20",10016,NY,New York,https://www.realtor.com/realestateandhomes-detail/325-5th-Ave-Apt-44B_New-York_NY_10016_M38960-50909
246-E-30th-St_New-York_NY_10016_M47404-23859,$3495000,for_sale,"type: townhomes, sub_type: townhouse, sold_date: 1985-12-30",10016,NY,New York,https://www.realtor.com/realestateandhomes-detail/246-E-30th-St_New-York_NY_10016_M47404-23859
77-Park-Ave-C6_New-York_NY_10016_M41006-38855,$1200000,for_sale,"baths_consolidated: 1.5, type: condos, sub_type: condo, sold_date: 1986-05-21",10016,NY,Manhattan,https://www.realtor.com/realestateandhomes-detail/77-Park-Ave-C6_New-York_NY_10016_M41006-38855
225-E-34th-St-Apt-8I_New-York_NY_10016_M31195-64220,$1699000,for_sale,"baths_consolidated: 2, type: condos, sub_type: condo, sold_date: 2017-09-06",10016,NY,Manhattan,https://www.realtor.com/realestateandhomes-detail/225-E-34th-St-Apt-8I_New-York_NY_10016_M31195-64220
16-Park-Ave-B10_New-York_NY_10016_M34756-15111,$645000,for_sale,"baths_consolidated: 1, type: coop, sub_type: co_op, sold_date: 2013-09-13",10016,NY,Manhattan,https://www.realtor.com/realestateandhomes-detail/16-Park-Ave-B10_New-York_NY_10016_M34756-15111
325-Lexington-Ave-Apt-4E_New-York_NY_10016_M41418-38998,$825000,for_sale,"baths_consolidated: 1, type: townhomes, sub_type: condo",10016,NY,New York,https://www.realtor.com/realestateandhomes-detail/325-Lexington-Ave-Apt-4E_New-York_NY_10016_M41418-38998
133-E-30th-St-Apt-4C_New-York_NY_10016_M45759-58491,$599000,for_sale,"baths_consolidated: 1, type: coop, sub_type: co_op",10016,NY,Manhattan,https://www.realtor.com/realestateandhomes-detail/133-E-30th-St-Apt-4C_New-York_NY_10016_M45759-58491
210-E-36th-St-Apt-6G_New-York_NY_10016_M30090-64554,$385000,for_sale,"baths_consolidated: 1, type: coop, sub_type: co_op",10016,NY,New York,https://www.realtor.com/realestateandhomes-detail/210-E-36th-St-Apt-6G_New-York_NY_10016_M30090-64554
325-5th-Ave-Apt-10D_New-York_NY_10016_M38892-68508,$1295000,for_sale,"baths_consolidated: 1.5, type: condos, sub_type: condo, sold_date: 2012-01-27",10016,NY,New York,https://www.realtor.com/realestateandhomes-detail/325-5th-Ave-Apt-10D_New-York_NY_10016_M38892-68508
300-E-33rd-St-Apt-16B_New-York_NY_10016_M30153-34742,$850000,for_sale,"baths_consolidated: 1, type: condos, sub_type: condo, sold_date: 1982-04-12",10016,NY,New York,https://www.realtor.com/realestateandhomes-detail/300-E-33rd-St-Apt-16B_New-York_NY_10016_M30153-34742
300-E-40th-St-Apt-30N_New-York_NY_10016_M44690-62435,$799000,for_sale,"baths_consolidated: 1, type: condos, sub_type: condo",10016,NY,Manhattan,https://www.realtor.com/realestateandhomes-detail/300-E-40th-St-Apt-30N_New-York_NY_10016_M44690-62435
